fecha,monto_creditos_millones,indice_creditos,precio_venta_avg,indice_venta,precio_alquiler_avg,indice_alquiler
2019-11-01,1787.422,25.34142862494917,NA,NA,NA,NA
2019-12-01,1505.629,21.34626844648527,NA,NA,NA,NA
2020-01-01,767.99,10.888287024370694,NA,NA,NA,NA
2020-02-01,615.974,8.733058648614843,NA,NA,NA,NA
2020-03-01,372.538,5.281710271598601,NA,NA,NA,NA
2020-04-01,58.179,0.8248410145846464,NA,NA,NA,NA
2020-05-01,200.61,2.84417669495567,NA,NA,NA,NA
2020-06-01,260.152,3.6883418351333797,NA,NA,NA,NA
2020-07-01,181.285,2.5701937697275237,NA,NA,NA,NA
2020-08-01,177.953,2.5229538676907746,NA,NA,NA,NA
2020-09-01,292.315,4.144337324091355,NA,NA,NA,NA
2020-10-01,268.427,3.8056618199335306,NA,NA,NA,NA
2020-11-01,311.425,4.415272056360946,NA,NA,NA,NA
2020-12-01,264.095,3.7442442762290895,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
