ano,mes,tipo_cambio_promedio,tipo_cambio_min,tipo_cambio_max,dias_en_mes,fecha_representativa,mes_nombre,fecha_mes
2018,10,37.83181818181818,36.5,40,22,2018-10-31,Oct,2018-10-01
2018,11,36.52947368421053,35.25,39,19,2018-11-29,Nov,2018-11-01
2018,12,38.225,37,40.5,18,2018-12-28,Dec,2018-12-01
2019,1,39.04545454545455,37.5,40.5,22,2019-01-31,Jan,2019-01-01
2019,2,38.4025,37.25,39.75,20,2019-02-28,Feb,2019-02-01
2019,3,41.63947368421053,39,44,19,2019-03-29,Mar,2019-03-01
2019,4,44.27473684210526,43.45,46.1,19,2019-04-30,Apr,2019-04-01
2019,5,46.095454545454544,45.75,46.5,22,2019-05-31,May,2019-05-01
2019,6,45.06333333333333,43.8,46.1,18,2019-06-28,Jun,2019-06-01
2019,7,43.983333333333334,42.8,45.2,21,2019-07-31,Jul,2019-07-01
2019,8,54.84285714285714,45.43,63,21,2019-08-30,Aug,2019-08-01
2019,9,61.05952380952381,58.75,63.5,21,2019-09-30,Sep,2019-09-01
2019,10,65.54545454545455,60.75,75.75,22,2019-10-31,Oct,2019-10-01
2019,11,66.75,64,69.75,20,2019-11-29,Nov,2019-11-01
2019,12,72.36842105263158,66.5,80,19,2019-12-30,Dec,2019-12-01
